year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Bloodworms,Addison,Washington,A,Live Pounds,18934.19,208982.04,2393,145
2008,Bloodworms,Bar Harbor,Hancock,B,Live Pounds,1396.62,15276.99,110,31
2008,Bloodworms,Bass Harbor,Hancock,B,Live Pounds,42.09,448.58,4,3
2008,Bloodworms,Bath,Sagadahoc,E,Live Pounds,9408.14,101804.9,470,60
2008,Bloodworms,Beals,Washington,A,Live Pounds,1760.18,18989.88,1166,75
2008,Bloodworms,Belfast,Waldo,D,Live Pounds,4920.01,52020.87,202,49
2008,Bloodworms,Blue Hill,Hancock,C,Live Pounds,1206.07,13214.97,111,26
2008,Bloodworms,Brooklin,Hancock,C,Live Pounds,232.51,2501.05,20,13
2008,Bloodworms,Brunswick,Cumberland,F,Live Pounds,11306.86,121365.93,574,61
2008,Bloodworms,Bucksport,Hancock,D,Live Pounds,8247.79,88628.37,413,51
2008,Bloodworms,Calais,Washington,A,Live Pounds,2968.71,32605.93,242,39
2008,Bloodworms,Cherryfield,Washington,A,Live Pounds,139.71,1517.33,12,8
2008,Bloodworms,Damariscotta,Lincoln,E,Live Pounds,2559.57,28004.16,155,51
2008,Bloodworms,Deer Isle,Hancock,C,Live Pounds,1845.87,19651.02,148,33
2008,Bloodworms,Eastport,Washington,A,Live Pounds,3852.82,41748.57,183,25
2008,Bloodworms,Ellsworth,Hancock,B,Live Pounds,336.22,3605.22,28,21
2008,Bloodworms,Franklin,Hancock,B,Live Pounds,1610.83,17702.25,115,43
2008,Bloodworms,Freeport,Cumberland,F,Live Pounds,368.32,3906.21,18,13
2008,Bloodworms,Gouldsboro,Hancock,A,Live Pounds,5231.16,55646.85,351,47
2008,Bloodworms,Gouldsboro,Hancock,B,Live Pounds,12.49,131.99,1,1
2008,Bloodworms,Hancock,Hancock,B,Live Pounds,49250.42,536386.62,3982,143
2008,Bloodworms,Harrington,Washington,A,Live Pounds,5140.82,57858.88,673,92
2008,Bloodworms,Jonesboro,Washington,A,Live Pounds,89.15,1053.62,15,6
2008,Bloodworms,Jonesport,Washington,A,Live Pounds,6663.72,73472.95,747,101
2008,Bloodworms,Lamoine,Hancock,B,Live Pounds,13217.3,143775.14,986,103
2008,Bloodworms,Lubec,Washington,A,Live Pounds,398.66,4288.99,29,11
2008,Bloodworms,Machias,Washington,A,Live Pounds,261.18,2846,23,17
2008,Bloodworms,Milbridge,Washington,A,Live Pounds,7672.09,87185.665,898,110
2008,Bloodworms,Orland,Hancock,D,Live Pounds,106.1,1158.03,7,7
2008,Bloodworms,Other Hancock,Hancock,B,Live Pounds,148,1621.64,11,8
2008,Bloodworms,Other Hancock,Hancock,UK,Live Pounds,5994.96,65588.8,494,67
2008,Bloodworms,Other Lincoln,Lincoln,UK,Live Pounds,182897.4,2021031.04,11922,259
2008,Bloodworms,Other Maine,Not-Specified,UK,Live Pounds,21543.05,233571.55,1442,240
2008,Bloodworms,Other Washington,Washington,A,Live Pounds,1443.79,15840.88,223,54
2008,Bloodworms,Other Washington,Washington,UK,Live Pounds,58.5,643.71,4,3
2008,Bloodworms,Portland,Cumberland,F,Live Pounds,1074.96,11809.22,48,29
2008,Bloodworms,Rockland,Knox,D,Live Pounds,2612.59,28728.78,146,44
2008,Bloodworms,Searsport,Waldo,D,Live Pounds,1359.59,14282.68,71,20
2008,Bloodworms,Sorrento,Hancock,B,Live Pounds,279.14,3027.72,53,20
2008,Bloodworms,Steuben,Washington,A,Live Pounds,7360.76,80718.84,623,67
2008,Bloodworms,Stockton Springs,Waldo,D,Live Pounds,161.89,1715.16,9,7
2008,Bloodworms,Stonington,Hancock,C,Live Pounds,132,1445.63,7,6
2008,Bloodworms,Sullivan,Hancock,B,Live Pounds,4608.36,49807.88,367,79
2008,Bloodworms,Trenton,Hancock,B,Live Pounds,20146.77,220503.55,1568,109
2008,Bloodworms,Waldoboro,Lincoln,D,Live Pounds,5839.29,63104.42,363,62
2008,Bloodworms,Westport Island,Lincoln,E,Live Pounds,4123.73,44264.6,295,65
2008,Bloodworms,Winter Harbor,Hancock,B,Live Pounds,553.22,5849.07,41,13
2008,Bloodworms,Wiscasset,Lincoln,E,Live Pounds,20915.67,243799.91,1417,125
2008,Bloodworms,Woolwich,Sagadahoc,E,Live Pounds,96577.38,1069529.26,6728,215
2008,Bluefish,Portland,Cumberland,F,Live Pounds,871.95,478,27,7
2008,Clam Northern Quahog / Hard,Brunswick,Cumberland,F,Live Pounds,13383.87,21467.115,45,12
2008,Clam Northern Quahog / Hard,Freeport,Cumberland,F,Live Pounds,2166,1580.24,17,5
2008,Clam Northern Quahog / Hard,Harpswell,Cumberland,F,Live Pounds,26025.67,28708.87,37,7
2008,Clam Northern Quahog / Hard,Other Maine,Not-Specified,UK,Live Pounds,35437.71,20419.11,103,12
2008,Clam Northern Quahog / Hard,Trenton,Hancock,B,Live Pounds,30254.69,10472.17,60,3
2008,Clam Ocean Quahog,Jonesport,Washington,A,Live Pounds,4350718,1712143,0,19
2008,Clam Ocean Quahog,Other Maine,Not-Specified,UK,Live Pounds,1164811,479573,0,8
2008,Clam Razor Atlantic,Other Maine,Not-Specified,UK,Live Pounds,16769.01,39744.06,229,44
2008,Clam Soft,Addison,Washington,A,Live Pounds,141208.03,171648.01,1578,85
2008,Clam Soft,Bar Harbor,Hancock,B,Live Pounds,13355.54,20399.96,102,6
2008,Clam Soft,Biddeford Pool,York,G,Live Pounds,31232.42,33932.65,235,6
2008,Clam Soft,Blue Hill,Hancock,C,Live Pounds,10671.11,14422.89,85,13
2008,Clam Soft,Boothbay,Lincoln,E,Live Pounds,123488.14,171558.85,1429,54
2008,Clam Soft,Boothbay Harbor,Lincoln,E,Live Pounds,69630.76,97927.61,679,14
2008,Clam Soft,Bremen,Lincoln,D,Live Pounds,43983,53526.8,506,37
2008,Clam Soft,Bristol,Lincoln,D,Live Pounds,7688.95,9833.65,104,28
2008,Clam Soft,Brooklin,Hancock,C,Live Pounds,179738,252027.525,1275,77
2008,Clam Soft,Brooksville,Hancock,C,Live Pounds,6541,8511.52,114,23
2008,Clam Soft,Brunswick,Cumberland,F,Live Pounds,637450.57,913890.307,5726,86
2008,Clam Soft,Chebeague Island,Cumberland,F,Live Pounds,4816.63,5949.35,36,4
2008,Clam Soft,Cushing,Knox,D,Live Pounds,276542.44,338387.85,3133,125
2008,Clam Soft,Cutler,Washington,A,Live Pounds,151956.07,204152.52,2006,53
2008,Clam Soft,Damariscotta,Lincoln,E,Live Pounds,624882.78,750665.59,5462,171
2008,Clam Soft,Deer Isle,Hancock,C,Live Pounds,812267.2,956471.272,6695,128
2008,Clam Soft,Franklin,Hancock,B,Live Pounds,39928.18,55711.564,355,53
2008,Clam Soft,Freeport,Cumberland,F,Live Pounds,804967.76,1088419.708,4552,114
2008,Clam Soft,Friendship,Knox,D,Live Pounds,198525.9,238165.15,2365,86
2008,Clam Soft,Georgetown,Sagadahoc,E,Live Pounds,204263.89,304697.664,2085,24
2008,Clam Soft,Gouldsboro,Hancock,A,Live Pounds,61253.07,78025.775,645,33
2008,Clam Soft,Hancock,Hancock,B,Live Pounds,19027.73,23301.804,207,31
2008,Clam Soft,Harpswell,Cumberland,F,Live Pounds,452296.13,645333.19,4334,87
2008,Clam Soft,Harrington,Washington,A,Live Pounds,290116.52,360794.148,3226,95
2008,Clam Soft,Isle au Haut,Knox,C,Live Pounds,11518.99,13950.25,144,23
2008,Clam Soft,Jonesport,Washington,A,Live Pounds,104819.36,126744.33,1179,69
2008,Clam Soft,Lamoine,Hancock,B,Live Pounds,158311.93,216189.91,1664,125
2008,Clam Soft,Lubec,Washington,A,Live Pounds,62079.88,81658.88,1053,49
2008,Clam Soft,Machiasport,Washington,A,Live Pounds,402463.72,507555.206,4843,124
2008,Clam Soft,Milbridge,Washington,A,Live Pounds,200671.71,234111.43,2253,122
2008,Clam Soft,Mount Desert,Hancock,B,Live Pounds,613.06,894.84,8,4
2008,Clam Soft,Newcastle,Lincoln,E,Live Pounds,2397.9,2833.9,38,9
2008,Clam Soft,Other Hancock,Hancock,B,Live Pounds,395.29,553.63,1,1
2008,Clam Soft,Other Hancock,Hancock,UK,Live Pounds,40459.95,58703.428,382,41
2008,Clam Soft,Other Maine,Not-Specified,UK,Live Pounds,176745.85,244529.532,2521,191
2008,Clam Soft,Other Maine,UK,UK,Live Pounds,1409.64,2044.02,7,5
2008,Clam Soft,Other Washington,Washington,A,Live Pounds,524.3,661.39,6,4
2008,Clam Soft,Other Washington,Washington,UK,Live Pounds,43,51.6,1,1
2008,Clam Soft,Pembroke,Washington,A,Live Pounds,33930.69,40473.5,611,20
2008,Clam Soft,Penobscot,Hancock,D,Live Pounds,75474,115382.41,378,50
2008,Clam Soft,Perry,Washington,A,Live Pounds,43090.25,52683.05,919,41
