,Unnamed: 0,year,species,port,county,weight_type,weight,value,number_harvesters,price_per_lb
0,0,2008,Bloodworms,Addison,Washington,Live Pounds,18934.19,208982.04,145,11.0372844
1,1,2008,Bloodworms,Bar Harbor,Hancock,Live Pounds,1396.62,15276.99,31,10.93854449
2,2,2008,Bloodworms,Bass Harbor,Hancock,Live Pounds,42.09,448.58,3,10.65763839
3,3,2008,Bloodworms,Bath,Sagadahoc,Live Pounds,9408.14,101804.9,60,10.82093804
4,4,2008,Bloodworms,Beals,Washington,Live Pounds,1760.18,18989.88,75,10.78860117
5,5,2008,Bloodworms,Belfast,Waldo,Live Pounds,4920.01,52020.87,49,10.57332607
6,6,2008,Bloodworms,Blue Hill,Hancock,Live Pounds,1206.07,13214.97,26,10.95705059
7,7,2008,Bloodworms,Brooklin,Hancock,Live Pounds,232.51,2501.05,13,10.75674165
8,8,2008,Bloodworms,Brunswick,Cumberland,Live Pounds,11306.86,121365.93,61,10.7338315
9,9,2008,Bloodworms,Bucksport,Hancock,Live Pounds,8247.79,88628.37,51,10.74571128
10,10,2008,Bloodworms,Calais,Washington,Live Pounds,2968.71,32605.93,39,10.98319809
11,11,2008,Bloodworms,Cherryfield,Washington,Live Pounds,139.71,1517.33,8,10.86056832
12,12,2008,Bloodworms,Damariscotta,Lincoln,Live Pounds,2559.57,28004.16,51,10.94096274
13,13,2008,Bloodworms,Deer Isle,Hancock,Live Pounds,1845.87,19651.02,33,10.64593931
14,14,2008,Bloodworms,Eastport,Washington,Live Pounds,3852.82,41748.57,25,10.83584751
15,15,2008,Bloodworms,Ellsworth,Hancock,Live Pounds,336.22,3605.22,21,10.72280055
16,16,2008,Bloodworms,Franklin,Hancock,Live Pounds,1610.83,17702.25,43,10.98952093
17,17,2008,Bloodworms,Freeport,Cumberland,Live Pounds,368.32,3906.21,13,10.60547893
18,18,2008,Bloodworms,Gouldsboro,Hancock,Live Pounds,5231.16,55646.85,47,10.63757369
19,19,2008,Bloodworms,Gouldsboro,Hancock,Live Pounds,12.49,131.99,1,10.56765412
20,20,2008,Bloodworms,Hancock,Hancock,Live Pounds,49250.42,536386.62,143,10.89100601
21,21,2008,Bloodworms,Harrington,Washington,Live Pounds,5140.82,57858.88,92,11.25479593
22,22,2008,Bloodworms,Jonesboro,Washington,Live Pounds,89.15,1053.62,6,11.81850813
23,23,2008,Bloodworms,Jonesport,Washington,Live Pounds,6663.72,73472.95,101,11.02581591
24,24,2008,Bloodworms,Lamoine,Hancock,Live Pounds,13217.3,143775.14,103,10.87779955
25,25,2008,Bloodworms,Lubec,Washington,Live Pounds,398.66,4288.99,11,10.75851603
26,26,2008,Bloodworms,Machias,Washington,Live Pounds,261.18,2846.0,17,10.89669959
27,27,2008,Bloodworms,Milbridge,Washington,Live Pounds,7672.09,87185.665,110,11.36400446
28,28,2008,Bloodworms,Orland,Hancock,Live Pounds,106.1,1158.03,7,10.91451461
29,29,2008,Bloodworms,Other Hancock,Hancock,Live Pounds,148.0,1621.64,8,10.95702703
30,30,2008,Bloodworms,Other Hancock,Hancock,Live Pounds,5994.96,65588.8,67,10.94065682
31,31,2008,Bloodworms,Other Lincoln,Lincoln,Live Pounds,182897.4,2021031.04,259,11.05008076
32,32,2008,Bloodworms,Other Maine,Not-Specified,Live Pounds,21543.05,233571.55,240,10.84208364
33,33,2008,Bloodworms,Other Washington,Washington,Live Pounds,1443.79,15840.88,54,10.97173412
34,34,2008,Bloodworms,Other Washington,Washington,Live Pounds,58.5,643.71,3,11.00358974
35,35,2008,Bloodworms,Portland,Cumberland,Live Pounds,1074.96,11809.22,29,10.9857297
36,36,2008,Bloodworms,Rockland,Knox,Live Pounds,2612.59,28728.78,44,10.99628338
37,37,2008,Bloodworms,Searsport,Waldo,Live Pounds,1359.59,14282.68,20,10.50513758
38,38,2008,Bloodworms,Sorrento,Hancock,Live Pounds,279.14,3027.72,20,10.84660027
39,39,2008,Bloodworms,Steuben,Washington,Live Pounds,7360.76,80718.84,67,10.96610133
40,40,2008,Bloodworms,Stockton Springs,Waldo,Live Pounds,161.89,1715.16,7,10.59460127
