,Unnamed: 0,year,species,port,county,weight_type,weight,value,number_harvesters,price_per_lb
182,182,2008,Lobster American,Addison,Washington,Live Pounds,874072.35,2811848.728,80,3.216951924
183,183,2008,Lobster American,Bailey Island,Cumberland,Live Pounds,1300961.05,4380685.491,100,3.367268752
184,184,2008,Lobster American,Bar Harbor,Hancock,Live Pounds,749213.48,2761140.098,71,3.685384969
185,185,2008,Lobster American,Bass Harbor,Hancock,Live Pounds,860515.0,3237508.82,89,3.762292139
186,186,2008,Lobster American,Beals,Washington,Live Pounds,1463538.05,4777283.831,173,3.264202001
187,187,2008,Lobster American,Birch Harbor,Hancock,Live Pounds,469693.5,1686542.55,20,3.590730019
188,188,2008,Lobster American,Blue Hill,Hancock,Live Pounds,501952.97,1871689.247,58,3.72881397
189,189,2008,Lobster American,Boothbay Harbor,Lincoln,Live Pounds,1167021.1,4076446.84,144,3.493036107
190,190,2008,Lobster American,Bremen,Lincoln,Live Pounds,714036.2,2313529.645,67,3.240073325
191,191,2008,Lobster American,Brooksville,Hancock,Live Pounds,16853.2,66952.768,9,3.972703582
192,192,2008,Lobster American,Bucks Harbor,Washington,Live Pounds,973688.6,3235568.815,83,3.32300164
193,193,2008,Lobster American,Cape Porpoise,York,Live Pounds,564253.5,2139812.17,56,3.792288696
194,194,2008,Lobster American,Cundys Harbor,Cumberland,Live Pounds,838868.2,2736997.42,51,3.262726397
195,195,2008,Lobster American,Cushing,Knox,Live Pounds,1383106.1,4816284.71,85,3.482223605
196,196,2008,Lobster American,Cutler,Washington,Live Pounds,1252792.3,4253588.005,58,3.395285879
197,197,2008,Lobster American,Deer Isle,Hancock,Live Pounds,1018364.7,3676703.91,71,3.610399997
198,198,2008,Lobster American,Eastport,Washington,Live Pounds,471958.15,1792250.088,31,3.797476721
199,199,2008,Lobster American,Falmouth,Cumberland,Live Pounds,36272.03,154156.465,9,4.250009305
200,200,2008,Lobster American,Five Islands,Sagadahoc,Live Pounds,230983.9,835550.37,52,3.617353287
201,201,2008,Lobster American,Freeport,Cumberland,Live Pounds,650370.5,2367096.44,54,3.639612252
202,202,2008,Lobster American,Friendship,Knox,Live Pounds,3050380.03,10957629.81,189,3.592217921
203,203,2008,Lobster American,Georgetown,Sagadahoc,Live Pounds,290645.56,960823.85,33,3.305826691
204,204,2008,Lobster American,Gouldsboro,Hancock,Live Pounds,327995.4,1016548.85,30,3.099277764
205,205,2008,Lobster American,Gouldsboro,Hancock,Live Pounds,15840.0,55011.8,3,3.472967172
206,206,2008,Lobster American,Hancock,Hancock,Live Pounds,25261.9,93814.013,8,3.713656257
207,207,2008,Lobster American,Harpswell,Cumberland,Live Pounds,1971295.05,6725615.28,190,3.411775056
208,208,2008,Lobster American,Harrington,Washington,Live Pounds,332511.03,1136885.544,29,3.419091222
209,209,2008,Lobster American,Jonesport,Washington,Live Pounds,2815796.4,9551861.43,247,3.392241509
210,210,2008,Lobster American,Kennebunkport,York,Live Pounds,194220.16,724326.245,36,3.729408137
211,211,2008,Lobster American,Kittery,York,Live Pounds,1130809.51,4527935.65,83,4.004154201
212,212,2008,Lobster American,Lincolnville,Waldo,Live Pounds,21775.65,83585.86,7,3.838501262
213,213,2008,Lobster American,Milbridge,Washington,Live Pounds,1462483.0,5135465.14,87,3.511469973
214,214,2008,Lobster American,Monhegan,Lincoln,Live Pounds,71414.45,237527.95,10,3.32604886
215,215,2008,Lobster American,Mount Desert,Hancock,Live Pounds,2529.8,11469.633,6,4.533810183
216,216,2008,Lobster American,New Harbor,Lincoln,Live Pounds,989284.2,3250697.95,46,3.285909095
217,217,2008,Lobster American,Ogunquit,York,Live Pounds,136430.01,504406.778,11,3.697183472
218,218,2008,Lobster American,Other Hancock,Hancock,Live Pounds,72561.15,273727.051,9,3.772363737
219,219,2008,Lobster American,Other Hancock,Hancock,Live Pounds,89279.8,340361.941,23,3.812306266
220,220,2008,Lobster American,Other Maine,Not-Specified,Live Pounds,8664950.16,30757825.57,791,3.549682918
221,221,2008,Lobster American,Other York,York,Live Pounds,210409.28,864417.89,17,4.108268846
222,222,2008,Lobster American,Owls Head,Knox,Live Pounds,1325949.87,4710258.765,77,3.552365645
223,223,2008,Lobster American,Penobscot,Hancock,Live Pounds,9822.05,36161.42,6,3.681657088
224,224,2008,Lobster American,Phippsburg,Sagadahoc,Live Pounds,357215.6,1376228.06,58,3.852653859
225,225,2008,Lobster American,Pine Point,Cumberland,Live Pounds,72298.33,274940.964,9,3.802867424
226,226,2008,Lobster American,Port Clyde,Knox,Live Pounds,1978674.39,6540932.218,155,3.305714296
227,227,2008,Lobster American,Portland,Cumberland,Live Pounds,2205875.17,8279837.999,238,3.753538782
228,228,2008,Lobster American,Rockland,Knox,Live Pounds,1172352.19,4303755.536,182,3.671043201
229,229,2008,Lobster American,Rockport,Knox,Live Pounds,152156.82,527197.905,22,3.464832566
230,230,2008,Lobster American,Round Pond,Lincoln,Live Pounds,495832.0,1594403.845,55,3.21561304
231,231,2008,Lobster American,Scarborough,Cumberland,Live Pounds,227899.37,867554.168,38,3.806742283
232,232,2008,Lobster American,South Bristol,Lincoln,Live Pounds,1310524.8,4303217.79,101,3.283583638
233,233,2008,Lobster American,South Thomaston,Knox,Live Pounds,2803.93,11936.285,9,4.256983948
234,234,2008,Lobster American,Southwest Harbor,Hancock,Live Pounds,1017184.9,3773312.189,97,3.709563708
235,235,2008,Lobster American,Spruce Head,Knox,Live Pounds,3171262.94,10276922.07,177,3.240640169
236,236,2008,Lobster American,Steuben,Washington,Live Pounds,1297762.04,4567207.375,87,3.519294936
237,237,2008,Lobster American,Stonington,Hancock,Live Pounds,7186042.45,25582771.45,368,3.560064059
238,238,2008,Lobster American,Swans Island,Hancock,Live Pounds,1464290.07,5478767.433,93,3.741586141
239,239,2008,Lobster American,Tenants Harbor,Knox,Live Pounds,1925158.99,6364455.608,107,3.305937661
240,240,2008,Lobster American,Tremont,Hancock,Live Pounds,380709.3,1495759.031,65,3.928874422
241,241,2008,Lobster American,Vinalhaven,Knox,Live Pounds,5184632.45,18224609.66,227,3.515120857
242,242,2008,Lobster American,Wells,York,Live Pounds,28571.5,101090.074,7,3.538143745
243,243,2008,Lobster American,Winter Harbor,Hancock,Live Pounds,1032016.0,3290376.575,43,3.188299963
244,244,2008,Lobster American,York,York,Live Pounds,495081.29,1966754.59,35,3.972589209
482,482,2009,Lobster American,Addison,Washington,Live Pounds,970421.25,2549251.662,108,2.626953668
483,483,2009,Lobster American,Bailey Island,Cumberland,Live Pounds,1428187.2,4173242.112,104,2.922055394
484,484,2009,Lobster American,Bar Harbor,Hancock,Live Pounds,663631.6,2198787.347,45,3.313264991
485,485,2009,Lobster American,Bass Harbor,Hancock,Live Pounds,1320445.0,4236815.53,125,3.208627039
486,486,2009,Lobster American,Beals,Washington,Live Pounds,2599936.36,7452947.778,219,2.866588541
487,487,2009,Lobster American,Belfast,Waldo,Live Pounds,127554.01,361981.368,44,2.83786741
488,488,2009,Lobster American,Blue Hill,Hancock,Live Pounds,604964.1,1706482.494,51,2.820799604
489,489,2009,Lobster American,Boothbay,Lincoln,Live Pounds,174903.0,460727.67,42,2.634189637
490,490,2009,Lobster American,Boothbay Harbor,Lincoln,Live Pounds,956241.2,3594046.265,132,3.758514342
491,491,2009,Lobster American,Bremen,Lincoln,Live Pounds,776282.3,1993660.966,64,2.568216441
492,492,2009,Lobster American,Brooklin,Hancock,Live Pounds,25558.8,74124.865,12,2.90017
493,493,2009,Lobster American,Brooksville,Hancock,Live Pounds,23318.85,70057.581,6,3.004332589
494,494,2009,Lobster American,Bucks Harbor,Washington,Live Pounds,735252.3,1980043.44,68,2.693012235
495,495,2009,Lobster American,Cape Porpoise,York,Live Pounds,715460.2,2344081.44,48,3.276326817
496,496,2009,Lobster American,Castine,Hancock,Live Pounds,11328.2,30656.18,3,2.7061828
497,497,2009,Lobster American,Cundys Harbor,Cumberland,Live Pounds,1149877.3,3167319.31,79,2.754484596
498,498,2009,Lobster American,Cushing,Knox,Live Pounds,1332685.4,4234861.502,76,3.177690325
499,499,2009,Lobster American,Cutler,Washington,Live Pounds,1535849.0,4742734.38,50,3.08802127
500,500,2009,Lobster American,Deer Isle,Hancock,Live Pounds,763369.7,2226180.71,42,2.916255007
501,501,2009,Lobster American,Eastport,Washington,Live Pounds,615024.46,2101915.581,29,3.417612986
502,502,2009,Lobster American,Falmouth,Cumberland,Live Pounds,36004.3,130852.49,7,3.634357285
503,503,2009,Lobster American,Five Islands,Sagadahoc,Live Pounds,315122.5,939393.625,50,2.98104269
504,504,2009,Lobster American,Freeport,Cumberland,Live Pounds,193822.0,572980.6,16,2.956220656
505,505,2009,Lobster American,Frenchboro,Hancock,Live Pounds,252534.55,795468.46,25,3.149939127
506,506,2009,Lobster American,Friendship,Knox,Live Pounds,3561330.15,10454725.67,179,2.935623834
507,507,2009,Lobster American,Georgetown,Sagadahoc,Live Pounds,250797.81,708142.86,26,2.82356078
508,508,2009,Lobster American,Gouldsboro,Hancock,Live Pounds,341649.3,862057.03,30,2.523222
509,509,2009,Lobster American,Gouldsboro,Hancock,Live Pounds,33490.0,109947.25,3,3.282987459
510,510,2009,Lobster American,Hancock,Hancock,Live Pounds,114679.47,355058.86,21,3.096097846
511,511,2009,Lobster American,Harpswell,Cumberland,Live Pounds,2314639.46,6613186.002,180,2.857112789
512,512,2009,Lobster American,Harrington,Washington,Live Pounds,599035.05,1785762.267,38,2.981064742
513,513,2009,Lobster American,Islesboro,Waldo,Live Pounds,109871.25,303888.32,15,2.765858402
514,514,2009,Lobster American,Jonesport,Washington,Live Pounds,2612190.16,7329238.495,251,2.805782905
515,515,2009,Lobster American,Kennebunkport,York,Live Pounds,184881.14,613819.87,28,3.320078349
516,516,2009,Lobster American,Kittery,York,Live Pounds,1140214.09,3773315.659,87,3.309304535
517,517,2009,Lobster American,Lamoine,Hancock,Live Pounds,138124.0,453878.85,30,3.286024514
