,Unnamed: 0.1,year,weight,value,number_harvesters,price_per_lb,clusters,cluster
0,182,2008,874072.35,2811848.728,80,3.216951924,0,pink
1,183,2008,1300961.05,4380685.491,100,3.367268752,0,pink
2,184,2008,749213.48,2761140.098,71,3.685384969,0,pink
3,185,2008,860515.0,3237508.82,89,3.762292139,0,pink
4,186,2008,1463538.05,4777283.831,173,3.264202001,0,pink
5,187,2008,469693.5,1686542.55,20,3.590730019,0,pink
6,188,2008,501952.97,1871689.247,58,3.72881397,0,pink
7,189,2008,1167021.1,4076446.84,144,3.493036107,0,pink
8,190,2008,714036.2,2313529.645,67,3.240073325,0,pink
9,191,2008,16853.2,66952.768,9,3.972703582,0,pink
10,192,2008,973688.6,3235568.815,83,3.32300164,0,pink
11,193,2008,564253.5,2139812.17,56,3.792288696,0,pink
12,194,2008,838868.2,2736997.42,51,3.262726397,0,pink
13,195,2008,1383106.1,4816284.71,85,3.482223605,0,pink
14,196,2008,1252792.3,4253588.005,58,3.395285879,0,pink
15,197,2008,1018364.7,3676703.91,71,3.610399997,0,pink
16,198,2008,471958.15,1792250.088,31,3.797476721,0,pink
17,199,2008,36272.03,154156.465,9,4.250009305,0,pink
18,200,2008,230983.9,835550.37,52,3.617353287,0,pink
19,201,2008,650370.5,2367096.44,54,3.639612252,0,pink
20,202,2008,3050380.03,10957629.81,189,3.592217921,2,dark purple
21,203,2008,290645.56,960823.85,33,3.305826691,0,pink
22,204,2008,327995.4,1016548.85,30,3.099277764,0,pink
23,205,2008,15840.0,55011.8,3,3.472967172,0,pink
24,206,2008,25261.9,93814.013,8,3.713656257,0,pink
25,207,2008,1971295.05,6725615.28,190,3.411775056,2,dark purple
26,208,2008,332511.03,1136885.544,29,3.419091222,0,pink
27,209,2008,2815796.4,9551861.43,247,3.392241509,2,dark purple
28,210,2008,194220.16,724326.245,36,3.729408137,0,pink
29,211,2008,1130809.51,4527935.65,83,4.004154201,0,pink
30,212,2008,21775.65,83585.86,7,3.838501262,0,pink
31,213,2008,1462483.0,5135465.14,87,3.511469973,0,pink
32,214,2008,71414.45,237527.95,10,3.32604886,0,pink
33,215,2008,2529.8,11469.633,6,4.533810183,0,pink
34,216,2008,989284.2,3250697.95,46,3.285909095,0,pink
35,217,2008,136430.01,504406.778,11,3.697183472,0,pink
36,218,2008,72561.15,273727.051,9,3.772363737,0,pink
37,219,2008,89279.8,340361.941,23,3.812306266,0,pink
38,220,2008,8664950.16,30757825.57,791,3.549682918,1,purple
39,221,2008,210409.28,864417.89,17,4.108268846,0,pink
40,222,2008,1325949.87,4710258.765,77,3.552365645,0,pink
41,223,2008,9822.05,36161.42,6,3.681657088,0,pink
42,224,2008,357215.6,1376228.06,58,3.852653859,0,pink
43,225,2008,72298.33,274940.964,9,3.802867424,0,pink
44,226,2008,1978674.39,6540932.218,155,3.305714296,2,dark purple
45,227,2008,2205875.17,8279837.999,238,3.753538782,2,dark purple
46,228,2008,1172352.19,4303755.536,182,3.671043201,0,pink
47,229,2008,152156.82,527197.905,22,3.464832566,0,pink
48,230,2008,495832.0,1594403.845,55,3.21561304,0,pink
49,231,2008,227899.37,867554.168,38,3.806742283,0,pink
50,232,2008,1310524.8,4303217.79,101,3.283583638,0,pink
51,233,2008,2803.93,11936.285,9,4.256983948,0,pink
52,234,2008,1017184.9,3773312.189,97,3.709563708,0,pink
53,235,2008,3171262.94,10276922.07,177,3.240640169,2,dark purple
54,236,2008,1297762.04,4567207.375,87,3.519294936,0,pink
55,237,2008,7186042.45,25582771.45,368,3.560064059,2,dark purple
56,238,2008,1464290.07,5478767.433,93,3.741586141,0,pink
57,239,2008,1925158.99,6364455.608,107,3.305937661,2,dark purple
58,240,2008,380709.3,1495759.031,65,3.928874422,0,pink
59,241,2008,5184632.45,18224609.66,227,3.515120857,2,dark purple
60,242,2008,28571.5,101090.074,7,3.538143745,0,pink
61,243,2008,1032016.0,3290376.575,43,3.188299963,0,pink
62,244,2008,495081.29,1966754.59,35,3.972589209,0,pink
63,482,2009,970421.25,2549251.662,108,2.626953668,0,pink
64,483,2009,1428187.2,4173242.112,104,2.922055394,0,pink
65,484,2009,663631.6,2198787.347,45,3.313264991,0,pink
66,485,2009,1320445.0,4236815.53,125,3.208627039,0,pink
67,486,2009,2599936.36,7452947.778,219,2.866588541,2,dark purple
68,487,2009,127554.01,361981.368,44,2.83786741,0,pink
69,488,2009,604964.1,1706482.494,51,2.820799604,0,pink
70,489,2009,174903.0,460727.67,42,2.634189637,0,pink
71,490,2009,956241.2,3594046.265,132,3.758514342,0,pink
72,491,2009,776282.3,1993660.966,64,2.568216441,0,pink
73,492,2009,25558.8,74124.865,12,2.90017,0,pink
74,493,2009,23318.85,70057.581,6,3.004332589,0,pink
75,494,2009,735252.3,1980043.44,68,2.693012235,0,pink
76,495,2009,715460.2,2344081.44,48,3.276326817,0,pink
77,496,2009,11328.2,30656.18,3,2.7061828,0,pink
78,497,2009,1149877.3,3167319.31,79,2.754484596,0,pink
79,498,2009,1332685.4,4234861.502,76,3.177690325,0,pink
80,499,2009,1535849.0,4742734.38,50,3.08802127,0,pink
81,500,2009,763369.7,2226180.71,42,2.916255007,0,pink
82,501,2009,615024.46,2101915.581,29,3.417612986,0,pink
83,502,2009,36004.3,130852.49,7,3.634357285,0,pink
84,503,2009,315122.5,939393.625,50,2.98104269,0,pink
85,504,2009,193822.0,572980.6,16,2.956220656,0,pink
86,505,2009,252534.55,795468.46,25,3.149939127,0,pink
87,506,2009,3561330.15,10454725.67,179,2.935623834,2,dark purple
88,507,2009,250797.81,708142.86,26,2.82356078,0,pink
89,508,2009,341649.3,862057.03,30,2.523222,0,pink
90,509,2009,33490.0,109947.25,3,3.282987459,0,pink
91,510,2009,114679.47,355058.86,21,3.096097846,0,pink
92,511,2009,2314639.46,6613186.002,180,2.857112789,2,dark purple
93,512,2009,599035.05,1785762.267,38,2.981064742,0,pink
94,513,2009,109871.25,303888.32,15,2.765858402,0,pink
95,514,2009,2612190.16,7329238.495,251,2.805782905,2,dark purple
96,515,2009,184881.14,613819.87,28,3.320078349,0,pink
97,516,2009,1140214.09,3773315.659,87,3.309304535,0,pink
98,517,2009,138124.0,453878.85,30,3.286024514,0,pink
99,518,2009,1656981.11,4720213.115,92,2.848682515,0,pink
100,519,2009,39417.97,151093.519,9,3.833112639,0,pink
101,520,2009,1006140.26,2823227.955,51,2.805998395,0,pink
102,521,2009,224343.54,739399.829,13,3.295837397,0,pink
103,522,2009,100690.8,324282.619,8,3.220578434,0,pink
104,523,2009,49518.4,161947.554,20,3.270452074,0,pink
105,524,2009,8753838.91,26116590.87,669,2.983444308,2,dark purple
106,525,2009,228989.5,771420.045,21,3.368800949,0,pink
107,526,2009,1908663.54,5671172.008,86,2.971279059,0,pink
108,527,2009,6995.4,20662.235,5,2.953688853,0,pink
109,528,2009,541789.0,1759730.28,44,3.247999276,0,pink
110,529,2009,55440.23,176555.942,9,3.184617777,0,pink
111,530,2009,2812726.47,7720441.671,189,2.744824907,2,dark purple
112,531,2009,2434758.4,7571998.949,241,3.109959062,2,dark purple
113,532,2009,591932.0,1801115.4,28,3.04277417,0,pink
114,533,2009,2717723.89,8015821.802,204,2.949461434,2,dark purple
115,534,2009,169698.69,480336.909,23,2.830528091,0,pink
116,535,2009,435866.89,1140833.415,41,2.617389486,0,pink
117,536,2009,54599.4,181999.1,21,3.33335348,0,pink
118,537,2009,252854.65,787642.913,31,3.115002682,0,pink
119,538,2009,1505896.02,4265916.28,100,2.83280932,0,pink
120,539,2009,425200.63,1224540.68,23,2.879912666,0,pink
121,540,2009,1508116.27,5065990.876,150,3.359151398,0,pink
122,541,2009,2962924.63,7079176.525,148,2.389252988,2,dark purple
123,542,2009,93182.84,316313.61,11,3.394547859,0,pink
124,543,2009,1413494.9,4125765.006,84,2.918839683,0,pink
125,544,2009,9155486.1,25752633.48,376,2.812808976,2,dark purple
126,545,2009,90182.5,290368.909,13,3.219792188,0,pink
127,546,2009,2112753.39,6283812.08,128,2.974228847,0,pink
128,547,2009,1694345.52,4535460.024,87,2.676821209,0,pink
129,548,2009,457454.51,1464825.188,66,3.202122082,0,pink
130,549,2009,126189.75,396257.638,31,3.140172938,0,pink
131,550,2009,4719606.35,13650575.01,219,2.892312197,2,dark purple
132,551,2009,35442.34,119742.664,8,3.378520267,0,pink
133,552,2009,85585.3,233359.445,23,2.726629982,0,pink
